平水韵韵部,声调,词林正韵部,潮汕音韵母,此韵母归此韵的字,同读此韵母但不属此韵的字,韵母匹配度
一先,下平,第七部,ian,瀍鞯绵萹蚿癣鲢湔搴研肩舷圆牵员沿翩笺填然鸢籼前单燕跣连权坚玄怜涎扁煽鄢棉癫千颠愆蝉铅虔湮褰戋蹁涓骈偏骞澶迁渊阡滇钱汧拳弦烟蜎毡捐仟佃鞭仙悬鳣干扇边蜒便贤链键旃蔫蠲褊阗膻县畋芊睊娟莲焉狷廛禅邅田延缠编鲜涟嫣眠椽缘钿篇妍煎巅岍筵笾湲犍联年蜷鹃天跹溅咽,辦办瓣蝙編邊鯿鳊籩煸匾貶贬碥稨藊卞弁汴忭遍辨辮辫辯辩變变禪蟬…,123/582
一先,下平,第七部,iann,骿,艾搬冰兵丙餅饼并併摒成呈城埕程鼎定訂订錠锭囝件健𩟗𫗚京晶經经…,1/92
一先,下平,第七部,iat,咽,憋徶鱉鳖別别彆癶掣撤徹彻澈抶跌迭耊垤昳瓞耋絰绖鱖鳜虢唧即恝揭…,1/153
一先,下平,第七部,iau,祅,詏𬣦杓標标膘瀌瘭鏢镖驃骠飆飙飈飚鑣镳表婊裱錶俵鰾鳔超晁朝嘲潮…,1/414
一先,下平,第七部,in,缗甄,箅篦砭匾貶贬遍瀕濒擯摈殯殡臏膑髕髌鬢鬓稟禀摒嗔瞋臣辰宸陳陈晨…,2/263
一先,下平,第七部,ng,穿,榜本甭倉仓艙舱長长腸肠傳瘡疮牀床創创刺邨村當当鐺铛荡盪段塅緞…,1/157
一先,下平,第七部,oinn,趼,班斑板版辦办蠶蚕睇典橂殿靛反蓋盖還間间剪揀拣襇裥繭茧簡简看蓮…,1/51
一先,下平,第七部,uan,荃穿川铨还痊挛诠员遄翾璇漩宣颧揎筌砖棬卷船惓渊泉悛拳鬈瑄拴牷全专旋镌传缘颛,般搬半伴拌柈絆绊舩傳喘串釧钏汆攛撺躥蹿鑹镩篡竄窜爨皴耑端短段…,37/430
一先,下平,第七部,uann,煎,安鞍按案般搬坂半伴殘残產产丹單撣掸旦憚惮彈弹番販贩杆肝竿秆桿…,1/120
一先,下平,第七部,un,朘竣纯,奔逩賁贲錛锛本苯畚笨飱蟬顫颤舩舛荈春椿純脣淳蒓莼醇鶉鹑蠢邨村…,3/373
二萧,下平,第八部,a,么,阿錒锕啊拗詏𬣦巴扒叭芭疤粑豝把靶爸耙罷罢霸壩坝灞欛吧骲飽饱趵…,1/240
二萧,下平,第八部,ak,鹗,雹暴爆㩧北剝剥亳博搏駁驳膊戳錯错毒獨独讀读度踱鐸铎恶堊垩鄂惡…,1/199
二萧,下平,第八部,au,麃陶嚣洮鸮猫哨枵,凹敖𠢕嶅遨嗷廒獒熬聱螯翱鏖鰲鳌媼媪襖袄坳拗奡傲奧奥隩嶴岙澳懊…,8/488
二萧,下平,第八部,iak,杓,蘗綽绰菔皭爵嚼撂掠略淖臬鎳镍虐瘧疟怯卻却雀鵲鹊若弱婼蒻箬篛勺…,1/65
二萧,下平,第八部,iau,飘遥跷侥绡荞瑶摇辽蕉箫薸峤料劭膘翘潇僚凋嫖妖蛲撩夭廖骁鹞姚超嘹桡蜩娇娆轿销骄瓢韶荍挑繇峣乔钊佻霄招迢苗谯蛸蟏嚣樵镣𫏋标祧飖珧苕萧漂谣杓螵跳烧飙髫桥焦鹪憔朝饶鸮条剽铫刁貂橇枭鹩侨宵潮了尧浇镳挢鲷腰缭潦聊椒消逍寥荛要痟鳐翛硝矫窑媱哓么燎瀌雕岧獠邀描调昭寮,詏𬣦標瘭鏢镖驃骠飆飈飚鑣表婊裱錶俵鰾鳔晁嘲瘳叼汈彫碉鵰鯛弔吊…,125/412
二萧,下平,第八部,iu,繇,彪滮抽犨仇惆酬稠愁裯綢绸儔俦幬帱疇畴籌筹躊踌讐讎雠丑瞅醜臭稻…,1/325
二萧,下平,第八部,oh,么,薄舶鉑铂駁驳箔礴觸触踔掇恶厄呃惡愕㕺閤阁閣鶴鹤駱骆落絡络摞犖…,1/73
三肴,下平,第八部,a,挠,阿錒锕啊拗詏𬣦巴扒叭芭疤粑豝把靶爸耙罷罢霸壩坝灞欛吧骲飽饱趵…,1/232
三肴,下平,第八部,ap,凹,插扱鍤锸耷搭嗒褡沓剳答溚瘩呷蓋盖鴿鸽蛤合佮頜颌郃盍盒闔阖圾集…,1/124
三肴,下平,第八部,au,麃轇钞蝥胞脬庖炮苞坳枹崤爻抛哮茅交犛嘲瓟淆铙呶鲛凹刨巢郊跑泡包艄殽咆肴聱佼咬匏挠猇洨,敖𠢕嶅遨嗷廒獒熬螯翱鏖鰲鳌媼媪襖袄拗奡傲奧奥隩嶴岙澳懊鏊驁骜…,42/483
三肴,下平,第八部,i,犛,稗陂卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀…,1/960
三肴,下平,第八部,iau,筲窅捎啁稍鞘交嘲茭蛸鲛姣郊硗胶抓敲佼咬梢教剿蛟,詏𬣦杓標标膘瀌瘭鏢镖驃骠飆飙飈飚鑣镳表婊裱錶俵鰾鳔超晁朝潮瘳…,23/414
三肴,下平,第八部,iu,鸼啁掊,彪滮抽犨仇惆酬稠愁裯綢绸儔俦幬帱疇畴籌筹躊踌讐讎雠丑瞅醜臭稻…,3/326
三肴,下平,第八部,ua,抓,貝贝播簸大帶带舵蓋盖歌呱瓜卦挂掛罣罫褂禾何和龢花華华嘩哗鏵铧…,1/116
三肴,下平,第八部,ui,掊,杯卑背椑悲貝贝倍狽狈悖焙蓓碚誖輩辈扯𠡒揣膗踹膪圌吹炊垂陲捶搥…,1/464
四豪,下平,第八部,a,蟧挠,阿錒锕啊拗詏𬣦巴扒叭芭疤粑豝把靶爸耙罷罢霸壩坝灞欛吧骲飽饱趵…,2/238
四豪,下平,第八部,am,掺,癌庵盦諳谙闇鵪鹌揞暗黯叄叁參参驂骖慚惭慙蠶蚕慘惨憯岑涔摻攙搀…,1/229
四豪,下平,第八部,au,逃曹萄骚芼漕陶痨槽刀鏖韬膏啕篙高焘涝袍蒿嗥髦皋壕猱牢涛鏊毫翱遭饕嚣掏糕嗷叨洮唠牦羔号嘈濠桃劳熬獒旄尻毛糟搔栲绦槔敖淘豪薅操骜鳌臊滔醄褒櫜捞缫挠螯忉遨螬,凹𠢕嶅廒聱鰲媼媪襖袄坳拗奡傲奧奥隩嶴岙澳懊驁包苞孢枹胞煲雹保…,75/489
四豪,下平,第八部,i,牦,稗陂卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀…,1/960
四豪,下平,第八部,iau,挑嚣醪,詏𬣦杓標标膘瀌瘭鏢镖驃骠飆飙飈飚鑣镳表婊裱錶俵鰾鳔超晁朝嘲潮…,3/413
四豪,下平,第八部,iu,裯猱帱绸咎,彪滮抽犨仇惆酬稠愁綢儔俦幬疇畴籌筹躊踌讐讎雠丑瞅醜臭稻丟丢銩…,5/325
四豪,下平,第八部,o,曹,阿襖袄薄保寶宝抱報报陂波玻菠播嶓跛簸啵糙草初鋤锄楚礎础搓磋矬…,1/367
四豪,下平,第八部,ou,艘,煲哺補补布步部埠踄簿愁廚厨觕湊凑腠輳辏粗醋都唗兜篼抖枓陡蚪斗…,1/338
四豪,下平,第八部,ua,淘,貝贝播簸大帶带舵蓋盖歌呱瓜卦挂掛罣罫褂禾何和龢花華华嘩哗鏵铧…,1/116
五歌,下平,第九部,a,瘥他蹉莎那哪伽搓么嵯,錒锕啊拗詏𬣦巴扒叭芭疤粑豝把靶爸耙罷罢霸壩坝灞欛吧骲飽饱趵豹…,10/238
五歌,下平,第九部,e,些,嗄扒把爸耙唄呗廁厕叉扠杈茶查差儕侪車车硨砗扯尺爹父華华藉籍加…,1/156
五歌,下平,第九部,i,陂劘,稗卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀痺…,2/960
五歌,下平,第九部,ia,枷茄迦伽瘸,才車车硨砗爹藉籍徛寄加佳珈痂家耞笳袈葭跏傢嘉斝賈贾檟槚价架嫁…,5/138
五歌,下平,第九部,ian,献,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞弁汴忭便遍辨…,1/582
五歌,下平,第九部,iau,么,詏𬣦杓標标膘瀌瘭鏢镖驃骠飆飙飈飚鑣镳表婊裱錶俵鰾鳔超晁朝嘲潮…,1/414
五歌,下平,第九部,io,茄伽,標标膘鏢镖鑣镳表裱錶俵鰾鳔掉椒蕉叫藠轎轿掯撩描瞄廟庙尿薸票漂…,2/66
五歌,下平,第九部,iu,囮,彪滮抽犨仇惆酬稠愁裯綢绸儔俦幬帱疇畴籌筹躊踌讐讎雠丑瞅醜臭稻…,1/326
五歌,下平,第九部,o,哥珂囮峨跎傩阿驼啰蛾锉拖科陀讹娥莎魔窠何嶓箩骡柯过摩矬沱坡莪牁俄挪鼍鹾磋梭倭萝苛哦轲锣逻戈歌酡皤驮菏波娑鹅多河蝌和锅螺垛颇硪窝荷桫磨诃婆髁𬶍涡罗禾呵唆,襖袄薄保寶宝抱報报玻菠播跛簸啵糙曹槽草初鋤锄楚礎础鹺脞剉挫莝…,75/383
五歌,下平,第九部,oh,么,薄舶鉑铂駁驳箔礴觸触踔掇恶厄呃惡愕㕺閤阁閣鶴鹤駱骆落絡络摞犖…,1/72
五歌,下平,第九部,ua,颇,貝贝播簸大帶带舵蓋盖呱瓜卦挂掛罣罫褂龢花華华嘩哗鏵铧驊骅化划…,1/107
五歌,下平,第九部,uan,番鄱,般搬半伴拌柈絆绊川穿舩船遄椽傳传喘串釧钏汆攛撺躥蹿鑹镩篡竄窜…,2/433
五歌,下平,第九部,uann,番,安鞍按案般搬坂半伴殘残產产丹單单撣掸旦憚惮彈弹販贩杆肝竿秆桿…,1/127
五歌,下平,第九部,ue,埚捼瘸挼,掰㧳杯揹背貝贝倍狽狈悖被焙蓓碚誖褙輩辈鋇钡菠揣吹炊棰箠兌兑裰…,4/196
五歌,下平,第九部,ui,蓑,杯卑背椑悲貝贝倍狽狈悖焙蓓碚誖輩辈扯𠡒揣膗踹膪圌吹炊垂陲捶搥…,1/464
六麻,下平,第十部,a,嗟鸦纱渣茶杈裟钯查爬丫芭巴侘豝楂砂鲨髽溠拏麻杷葩疤差桠铊叉衩琶沙,阿錒锕啊拗詏𬣦扒叭粑把靶爸耙罷罢霸壩坝灞欛吧骲飽饱趵豹礤扠餷…,32/239
六麻,下平,第十部,ai,差涯,哎哀埃挨唉捱皚皑矮藹蔼靄霭艾砹隘𱐿噯嗳嬡嫒𡟓礙碍岸捭擺摆襬拜…,2/355
六麻,下平,第十部,e,遮赊蛇爷哑砗斜佘邪瘕爹奢车些耶揶,嗄扒把爸耙唄呗廁厕扠儕侪車硨扯尺父華藉籍耞傢鎵镓假价架嫁稼價…,16/137
六麻,下平,第十部,i,蛇车,稗陂卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀…,2/959
六麻,下平,第十部,ia,遐呀枷茄嘉袈琊加瑕痂迦虾牙家衙笳珈椰芽霞葭跏车,才車硨伽藉籍徛寄佳耞傢斝賈贾檟槚价架嫁稼價駕驾姐褯咖令喏奇跂…,23/126
六麻,下平,第十部,iau,抓了,詏𬣦杓標标膘瀌瘭鏢镖驃骠飆飙飈飚鑣镳表婊裱錶俵鰾鳔超晁朝嘲潮…,2/414
六麻,下平,第十部,io,茄靴,標标膘鏢镖鑣镳表裱錶俵鰾鳔掉伽椒蕉叫藠轎轿掯撩描瞄廟庙尿薸票…,2/66
六麻,下平,第十部,o,挝哆蟆娲划,阿襖袄薄保寶宝抱報报陂波玻菠播嶓跛簸啵糙曹槽草初鋤锄楚礎础搓…,5/384
六麻,下平,第十部,u,涂祖呱苴吾污罝,煲烳逋晡捕哺補补布步佈怖部埠簿肏誧𰵩䯙初樗除芻刍滁蜍鋤锄廚厨…,7/726
六麻,下平,第十部,ua,洼呱娃蜗瓜华哇胯蛙骅夸桦抓花哗窊划,貝贝播簸大帶带舵蓋盖歌卦挂掛罣罫褂禾何和龢華嘩鏵铧驊化畫画話…,17/110
六麻,下平,第十部,uan,锻,般搬半伴拌柈絆绊川穿舩船遄椽傳传喘串釧钏汆攛撺躥蹿鑹镩篡竄窜…,1/433
六麻,下平,第十部,uann,挝,安鞍按案般搬坂半伴殘残產产丹單单撣掸旦憚惮彈弹番販贩杆肝竿秆…,1/127
六麻,下平,第十部,uek,划,嘓啯國国劃或惑獲获湨役疫域撮嘬玨珏瑴潑鈸末茇綴裰刖說曰斡粵越…,1/89
六麻,下平,第十部,ur,畬差,車哧茌遲迟除鋤锄呲疵跐茨祠瓷詞词慈磁雌糍辭辞鶿鹚鷀此泚次伺刺…,2/307
七阳,下平,第二部,ang,塘玱亢锵镗奘行冈螳铛珰帮旁颃怆棠刚阆滂榔创恇螂堂稂吭砀桑当苍仓慷杭彷裆藏郎臧螗搪丧廊邙疮纲钢唐康膀洭赃囊茫劻狼汤琅忙浪鸧傍桁溏芒航螃跄沧铓磅,骯肮昂邦梆浜幫綁绑榜蚌棒蒡稖謗谤崩繃绷甏蹦倉蒼滄艙舱鶬蕆蒇傖…,70/507
七阳,下平,第二部,au,昴,凹敖𠢕嶅遨嗷廒獒熬聱螯翱鏖鰲鳌媼媪襖袄坳拗奡傲奧奥隩嶴岙澳懊…,1/491
七阳,下平,第二部,eng,彭行饧庆桁瞠,浜奔栟崩繃绷迸煸冰兵丙邴秉柄炳餅饼并併並病噌曾層层蹭嘗琤偁稱…,6/580
七阳,下平,第二部,iang,裳禳踉樯长阳襄鲳障徉蒋秧详镶强翔羌璋祥觞瀼量鞅张扬疆香勷蜣洋苌央鲿疡肠粱飏徜厢樟骧箱戕粮湘炀阊乡泱嫜场偿漳庠杨昌菖凉嫱殇墙霜伤佯梁僵商殃伥怏呛涨攘螀鸯尝瓤将羊缰相枪浆良倡蔷娘穰抢旸常姜彰猖章,倀娼閶鯧長萇場腸嘗嫦嚐償鱨昶敞廠厂氅鬯唱悵怅暢畅騁骋愓𰐿江將…,95/261
七阳,下平,第二部,ng,莨瓤,榜本甭倉艙舱長腸川穿傳传瘡牀創刺邨村當鐺荡盪段塅緞缎斷断頓顿…,2/129
七阳,下平,第二部,ong,膀磅,盎幫蚌鎊镑甭泵窗囱幢匆蔥葱聰聪驄骢淙琮蕩荡冬東东咚氡蝀鼕董懂…,2/315
七阳,下平,第二部,uang,簧匡喤桄妨篁蝗遑装邡筐床忘光隍汪皇亡黄望凰徨湟慌煌钫惶王潢防狂枋孀璜霜方肪眶芳胱荒庄洸肓妆房坊,牀噇闖闯鈁仿昉倣舫紡纺訪访髣放封風风瘋疯觥銧𰽵廣广逛黌黉塃黃…,47/162
八庚,下平,第十一部,ang,行铛榜绷趟伧桁氓盲珩,骯肮昂邦梆浜幫帮綁绑膀蚌棒傍蒡稖磅謗谤崩繃甏蹦倉仓蒼苍滄沧艙…,10/519
八庚,下平,第十一部,eng,征怔茎彭赪罂柽萌黥苹枰行峥侦怦成英狰擎瞪缨鸣砰璎笙撄精评衡祯嘤荆晴呈丁铮枨酲正鹦烹绷桢蛏莺迎倾抨瘿晟霙罃猩兵樱更旌勍饧筝城洺琤牲亨并盟声鲭撑贞程坪蟛羹甍令硼惊顷庚情栟膨横鹒瑛卿蜻婴赓诚睛名轻澎耕京甥橙桁菁清鲸檠姘生坑平争瞠盲棚钲晶狞盛明,浜奔崩繃迸煸冰丙邴秉柄炳餅饼併並病噌曾層层蹭嘗尝偁稱称撐赬檉…,118/582
八庚,下平,第十一部,enn,楹,把柄病撐蹬賡鶊埂哽梗綆绠骾鯁鲠勁劲粳經经井阱剄刭頸颈逕迳徑径…,1/66
八庚,下平,第十一部,ia,令,才車车硨砗爹伽藉籍徛寄加佳迦珈枷痂家耞笳袈葭跏傢嘉斝賈贾檟槚…,1/136
八庚,下平,第十一部,ian,铿,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞弁汴忭便遍辨…,1/570
八庚,下平,第十一部,iang,枪,昌倀伥菖猖娼閶阊鯧鲳長长萇苌常徜場场腸肠嘗尝嫦嚐償偿鱨鲿昶敞…,1/262
八庚,下平,第十一部,in,骍振,箅篦砭匾貶贬便遍瀕濒擯摈殯殡臏膑髕髌鬢鬓稟禀摒嗔瞋臣辰宸陳陈…,2/277
八庚,下平,第十一部,iong,兄盈嬴瀛营赢,冲充沖忡茺翀舂衝憧艟崇蟲虫寵宠銃铳蓯苁樅枞從从叢丛弓供恭躬宮…,6/184
八庚,下平,第十一部,ong,訇轰泓宏,盎幫帮膀蚌磅鎊镑甭泵窗囱幢匆蔥葱聰聪驄骢淙琮蕩荡冬東东咚氡蝀…,4/316
八庚,下平,第十一部,u,栩,煲烳逋晡捕哺補补布步佈怖部埠簿肏誧𰵩䯙初樗除芻刍滁蜍鋤锄廚厨…,1/726
八庚,下平,第十一部,uang,喤觥黉,牀床噇闖闯方邡坊芳枋鈁钫防妨肪房仿昉倣舫紡纺訪访髣放封風风瘋…,3/161
八庚,下平,第十一部,ueng,茕衡蘅横惸,耿橫薨弘憬傾頃煢潁颍穎颖孕幕慢緩賺菅顏攢淵銑萑樊宣冤灣彎眢鴛…,5/255
九青,下平,第十一部,ek,幂,隘白百佰柏薄北逼愎煏愊碧薜壁璧襞伯帛舶擘卜蔔冊册側侧策廁厕測…,1/426
九青,下平,第十一部,eng,玲馨零腥听铃婷邢钉蓂亭廷停螟棂厅泾铭玎渟屏汀翎庭鸰宁坰葶丁仃叮町酃猩苓萍舲陉龄经瞑蜓羚星蛉冥疔泠娉聆伶形惺刑囹灵瓶醒暝瓴溟扃硎莛青霆型,浜奔栟崩繃绷迸煸冰兵丙邴秉柄炳餅饼并併並病噌曾層层蹭嘗尝琤偁…,67/584
九青,下平,第十一部,in,瓶,箅篦砭匾貶贬便遍瀕濒擯摈殯殡臏膑髕髌鬢鬓稟禀摒嗔瞋臣辰宸陳陈…,1/279
十蒸,下平,第十一部,eng,征应凌胜偁曾矰罾誊澄冰滕朋凝升甑陞菱澂仍噌膺僧簦冯蝇称扔憎绫兴藤鲮棱绳增层能症塍礽承缯鹰蒸陵腾乘惩崩灯恒矜登楞鬅丞兢凭,浜奔栟繃绷迸煸兵丙邴秉柄炳餅饼并併並病層蹭嘗尝琤稱撐撑赬赪瞠…,59/583
十蒸,下平,第十一部,i,砅,稗陂卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀…,1/960
十蒸,下平,第十一部,ian,渑,辦办瓣萹蝙編编鞭邊边鯿鳊籩笾煸扁匾貶贬碥稨褊藊卞弁汴忭便遍辨…,1/581
十蒸,下平,第十一部,in,渑,箅篦砭匾貶贬便遍瀕濒擯摈殯殡臏膑髕髌鬢鬓稟禀摒嗔瞋臣辰宸陳陈…,1/273
十蒸,下平,第十一部,iong,扔,冲充沖忡茺翀舂衝憧艟崇蟲虫寵宠銃铳蓯苁樅枞從从叢丛弓供恭躬宮…,1/183
十蒸,下平,第十一部,ong,弘朋鹏冯薨,盎幫帮膀蚌磅鎊镑甭泵窗囱幢匆蔥葱聰聪驄骢淙琮蕩荡冬東东咚氡蝀…,5/315
十蒸,下平,第十一部,uai,绘,乖拐𧊅柺夬怪噲哙鮭鲑劊刽徊淮槐懷怀壞坏匯汇會会薈荟澮浍檜桧繪…,1/55
十蒸,下平,第十一部,uan,肱,般搬半伴拌柈絆绊川穿舩船遄椽傳传喘串釧钏汆攛撺躥蹿鑹镩篡竄窜…,1/433
十蒸,下平,第十一部,ueng,弘薨,耿橫横衡蘅宏泓憬傾倾頃顷惸煢茕潁颍穎颖孕幕慢緩賺菅顏攢淵銑萑…,2/258
十一尤,下平,第十二部,au,蝥枹媮瞀褛矛区,凹敖𠢕嶅遨嗷廒獒熬聱螯翱鏖鰲鳌媼媪襖袄坳拗奡傲奧奥隩嶴岙澳懊…,7/454
十一尤,下平,第十二部,i,句,稗陂卑背悲碑被備备鞁憊惫鞴賁贲屄腟鼻匕疕比妣彼秕俾鄙魮𱇒庇畀…,1/960
十一尤,下平,第十二部,iau,啁瘳荍繇愀瀌调,詏𬣦杓標标膘瘭鏢镖驃骠飆飙飈飚鑣镳表婊裱錶俵鰾鳔超晁朝嘲潮刁…,7/411
十一尤,下平,第十二部,iok,涑喌妯,隩畜搐觸触矗戳促馥寂腳脚匊掬鞠鞫局侷菊跼覺觉可克刻氪六陸陆淥…,3/147
十一尤,下平,第十二部,iu,楸虬鸥艽裯秋幽愁酬流麀咻浏攸囚緅俦鸺鸼羞啁修喌仇鞣揄呦收蚯逑纠莸蝤瘤猷犹髹邱尤留揉眸畴缪繇悠泅游旒抽蚰帱绸蒌踌洲耰疣髅鳅啾舟楼骝售赇湫鹙刘罘救齁头龟鲰牛犨州庥惆榴蹂由阄优盩油掊邮蝣遛球鸠廋浮俅丘侔芣彪赒遒愀揪卣柔琉求稠裘貅硫筹酋忧投掫脩周,滮綢儔幬疇籌躊讐讎雠丑瞅醜臭稻丟丢銩铥囮覆龜賄贿究勼糾赳揫鳩…,119/326
十一尤,下平,第十二部,iun,休,臭復幼鵂朽嗅溴糗,1/9
十一尤,下平,第十二部,ok,缪,白百佰柏雹薄暴㩧㿺帛舶鉑铂箔礴卜啵蔔醭簿亍齪龊蔟簇蹙蹴纛督毒…,1/297
十一尤,下平,第十二部,ong,瞀,盎幫帮膀蚌磅鎊镑甭泵窗囱幢匆蔥葱聰聪驄骢淙琮蕩荡冬東东咚氡蝀…,1/313
十一尤,下平,第十二部,ou,鸥谋篝呕诌偷溲裒喉鍪篌骰鞲讴眸飕沟牟冓蒌瓯髅诹齁欧蒐糇蛑侯猴廋浮句侔钩沤枸搜兜邹叟搂陬投缑,煲哺補补布步部埠踄簿廚厨觕湊凑腠輳辏粗醋都唗篼抖枓陡蚪斗豆逗…,45/333
十一尤,下平,第十二部,u,偻娄桴揄𪣻蝼烰蝓篓褛诹罘抠驺浮蜉涪区,煲烳逋晡捕哺補补布步佈怖部埠簿肏誧𰵩䯙初樗除芻刍滁蜍鋤锄廚厨…,18/716
十一尤,下平,第十二部,ui,龟馗宄掊,杯卑背椑悲貝贝倍狽狈悖焙蓓碚誖輩辈扯𠡒揣膗踹膪圌吹炊垂陲捶搥…,4/464
十一尤,下平,第十二部,ur,仔,差車车哧茌遲迟除鋤锄呲疵跐茨祠瓷詞词慈磁雌糍辭辞鶿鹚鷀此泚次…,1/307
十一尤,下平,第十二部,ut,不抔,鈈钚出齣怵黜猝咄柮飿饳芾沸弗佛拂茀彿怫氟祓艴紱绂紼绋髴黻汩骨…,2/114
十二侵,下平,第十三部,am,参湛掺喑簪渗蟫,癌庵盦諳谙闇鵪鹌揞暗黯叄叁參驂骖慚惭慙蠶蚕慘惨憯摻攙搀儳巉讒…,7/224
十二侵,下平,第十三部,iam,椹渗,覘觇幨嬋婵蟬蝉蟾諂谄敁掂踮點点坫店玷惦扂墊垫簟鞥尖兼蒹緘缄縑…,2/211
十二侵,下平,第十三部,im,檎淋霖参林衾钦妊禽襟喑沈谌芩寻壬斟任愔深𬊈骎纴涔森音临禁忱崟浸霪砧琳吟针衿琴歆浔郴箴窨黔今岑阴淫蟫嵚金琛心侵擒,參沉諶酖掂定錦锦妗寖噤啉臨凜凛廩廪懍懔檩賃赁恁鈐钤蕁荨嶔駸噙…,55/158
十三覃,下平,第十四部,am,甘篮蓝贪泔唅坩褴郯暗颔疳昙澹楠南涵邯耽探婪憨簪酣男谈錾函担痰三蟫谙含参龛戡盦毵岚骖潭眈庵堪湛柑覃聃淦蚕谭蚶,癌諳闇鵪鹌揞黯叄叁參驂慚惭慙蠶慘惨憯岑涔摻掺攙搀儳巉讒谗饞馋…,53/229
十三覃,下平,第十四部,an,儋,安桉氨鞍俺銨铵犴岸按胺案扳班般斑搬頒颁瘢癍阪坂板版蝂闆扮辦办…,1/317
十三覃,下平,第十四部,iam,渰蚺,覘觇幨嬋婵蟬蝉蟾諂谄敁掂踮點点坫店玷惦扂墊垫簟鞥尖兼蒹緘缄縑…,2/214
十三覃,下平,第十四部,im,蟫参鸩,參岑涔郴琛沉忱諶谌酖掂定今金衿襟錦锦妗浸禁寖噤林淋琳啉霖臨临…,3/158
十四盐,下平,第十四部,am,掺,癌庵盦諳谙闇鵪鹌揞暗黯叄叁參参驂骖慚惭慙蠶蚕慘惨憯岑涔摻攙搀…,1/228
十四盐,下平,第十四部,an,纤,安桉氨鞍俺銨铵犴岸按胺案扳班般斑搬頒颁瘢癍阪坂板版蝂闆扮辦办…,1/320
十四盐,下平,第十四部,eng,铃,浜奔栟崩繃绷迸煸冰兵丙邴秉柄炳餅饼并併並病噌曾層层蹭嘗尝琤偁…,1/584
十四盐,下平,第十四部,enn,餍,把柄病撐撑瞠蹬庚耕賡赓鶊鹒羹埂哽梗綆绠骾鯁鲠更勁劲菁粳經经井…,1/93
十四盐,下平,第十四部,iam,厌恬拈蠊孅兼钤阎潜签歼箝痁帘餍崦淹沾苫缣尖鬑瞻盐詹奁霑黏镰占髯蟾腌暹檐幨蒹嫌纤佥严阉餂钳觇渐甜炎添蚺谦廉,覘嬋婵蟬蝉諂谄敁掂踮點点坫店玷惦扂墊垫簟鞥緘缄縑殲減减碱儉俭…,52/213
十四盐,下平,第十四部,im,𬊈针黔钤挦锓,參参岑涔郴琛沉忱諶谌酖掂定今金衿襟錦锦妗浸禁寖噤林淋琳啉霖臨…,6/157
十四盐,下平,第十四部,in,砭,箅篦匾貶贬便遍瀕濒擯摈殯殡臏膑髕髌鬢鬓稟禀摒嗔瞋臣辰宸陳陈晨…,1/279
十四盐,下平,第十四部,n,锨,掀鍁昕欣軒轩勛勋勳熏薰曛燻醺殷,1/16
十五咸,下平,第十四部,ai,才,哎哀埃挨唉捱皚皑矮藹蔼靄霭艾砹隘𱐿噯嗳嬡嫒𡟓礙碍岸捭擺摆襬拜…,1/355
十五咸,下平,第十四部,am,衔杉喃崭嵌掺馋巉监搀儳衫芟谗函,癌庵盦諳谙闇鵪鹌揞暗黯叄叁參参驂骖慚惭慙蠶蚕慘惨憯岑涔摻攙讒…,15/227
十五咸,下平,第十四部,iam,咸缄严岩,覘觇幨嬋婵蟬蝉蟾諂谄敁掂踮點点坫店玷惦扂墊垫簟鞥尖兼蒹緘縑缣…,4/214
十五咸,下平,第十四部,n,锨,掀鍁昕欣軒轩勛勋勳熏薰曛燻醺殷,1/16
十五咸,下平,第十四部,uam,凡帆,釩钒樊礬矾犯氾泛汎范梵範患,2/15
一董,上声,第一部,iong,苁,冲充沖忡茺翀舂衝憧艟崇蟲虫寵宠銃铳蓯樅枞從从叢丛弓供恭躬宮宫…,1/184
一董,上声,第一部,ong,唝蠓唪空汞峒笼恫桶总孔俸侗洞懵蒙蓊曚幪董动懂拢,盎幫帮膀蚌磅鎊镑甭泵窗囱幢匆蔥葱聰聪驄骢淙琮蕩荡冬東东咚氡蝀…,23/318
一董,上声,第一部,ou,蒙,煲哺補补布步部埠踄簿愁廚厨觕湊凑腠輳辏粗醋都唗兜篼抖枓陡蚪斗…,1/338
二肿,上声,第一部,iong,怂珙踵重氄涌甬壅冢拥拱蛹陇恐俑勇汹悚溶肿踊巩种宠冗竦茸垄耸,冲充沖忡茺翀舂衝憧艟崇蟲虫寵銃铳蓯苁樅枞從从叢丛弓供恭躬宮宫…,29/184
二肿,上声,第一部,ong,捧奉湩,盎幫帮膀蚌磅鎊镑甭泵窗囱幢匆蔥葱聰聪驄骢淙琮蕩荡冬東东咚氡蝀…,3/309
